"""id"",""danceability"",""energy"",""key"",""loudness"",""mode"",""speechiness"",""acousticness"",""instrumentalness"",""liveness"",""valence"",""tempo"",""duration_ms"",""time_signature"",""Y۱l"",""Enerjisi"""
"46,""63qapUS8yLKz0tb0eOgOTF"",0.599,0.471,11,-6.806,1,0.0281,0.0952,0,0.0996,0.141,109.941,253200,4,2018,""Low Enerjic"""
"47,""0tUh8HzIVpZPFW7HzE5Vhk"",0.474,0.777,9,-3.44,0,0.0409,0.0497,0,0.677,0.146,94.955,181813,4,2018,""Energic"""
"48,""5VIZcrKXPd9wL4hqE4YN8z"",0.696,0.785,5,-5.892,1,0.0631,0.108,0,0.327,0.756,120.001,189120,4,2018,""Energic"""
"49,""54vtz2MeGYtbvOG440hsYQ"",0.55,0.81,3,-5.019,1,0.035,0.0132,0,0.691,0.636,123.987,195973,4,2018,""Energic"""
"50,""5vQzn3A5PWSkKG2CSQlrwj"",0.669,0.648,3,-6.684,1,0.0572,0.0369,1.33e-06,0.358,0.378,89.968,212019,4,2018,""Low Enerjic"""
"51,""6wLfbmjlWri2YxvQsCnuPA"",0.529,0.749,7,-4.106,1,0.0334,0.138,0,0.318,0.332,96.019,182413,4,2018,""Low Enerjic"""
"52,""7lU7FYLjM3Gm6vAeesmFeB"",0.52,0.352,4,-11.062,0,0.0431,0.896,4.83e-05,0.0753,0.329,136.171,203242,4,2018,""Low Enerjic"""
"53,""4775LfHRe4e8rFEVA7Bxqn"",0.648,0.909,1,-6.148,0,0.0428,0.00995,0.00162,0.07,0.681,95.985,219173,4,2018,""High Energic"""
"54,""5C5oPeIOy1jcAGOMIKxqfY"",0.578,0.318,7,-13.474,0,0.0374,0.709,0.00215,0.126,0.229,119.94,244733,4,2018,""Low Enerjic"""
"55,""63svHSn5JnP4ERVWriipsn"",0.504,0.555,4,-7.868,1,0.0321,0.313,0,0.433,0.46,163.991,205306,3,2018,""Low Enerjic"""
"56,""5AmEdSYHocl9OP5WuIM0WB"",0.694,0.792,2,-5.597,1,0.0437,0.21,0.00732,0.0936,0.695,102.018,215760,4,2018,""Energic"""
"57,""7yBMOn5wpYVHxcAhi3pjlp"",0.686,0.354,2,-15.488,0,0.0427,0.752,0.614,0.103,0.164,117.004,248157,4,2018,""Low Enerjic"""
"58,""2dT3FKMG67oAwMAa3Dxtw7"",0.769,0.744,4,-4.212,0,0.0396,0.318,0,0.333,0.871,115.081,179967,4,2018,""Low Enerjic"""
"59,""0UQdKxpo7uRHUs7IDuW0Nl"",0.804,0.752,3,-5.829,1,0.0514,0.262,0,0.221,0.587,124.007,181627,4,2017,""Low Enerjic"""
"60,""4UPyr3Tep8idtAmisAu1qs"",0.669,0.832,10,-4.014,1,0.075,0.0424,3.89e-06,0.111,0.582,114.046,217625,4,2017,""Energic"""
"61,""3kXqUXnukwkpsxhW8emNC0"",0.607,0.449,0,-8.785,0,0.027,0.234,7.31e-06,0.208,0.142,129.947,174577,4,2017,""Low Enerjic"""
"62,""5YCqzqb6yN6TsMOHb4FSVw"",0.408,0.506,0,-8.24,0,0.0355,0.419,0,0.108,0.213,125.576,180952,4,2017,""Low Enerjic"""
