"""id"",""danceability"",""energy"",""key"",""loudness"",""mode"",""speechiness"",""acousticness"",""instrumentalness"",""liveness"",""valence"",""tempo"",""duration_ms"",""time_signature"",""Y۱l"",""Enerjisi"""
"315,""6V7Q3cfumxN9KtT1js3ziR"",0.527,0.628,5,-5.51,1,0.0428,0.39,0,0.56,0.339,112.911,180413,4,2012,""Low Enerjic"""
"316,""4HLh5lOMtQLuHo3NY5oist"",0.646,0.75,10,-4.885,1,0.0382,0.000658,0,0.0416,0.838,144.026,184200,3,2012,""Low Enerjic"""
"317,""4AaKAntTTzY6s6yjjQN70Q"",0.486,0.839,11,-4.273,1,0.0409,0.00407,0,0.0937,0.767,130.149,176853,4,2012,""Energic"""
"318,""4LZWT5Du81Q1g3snc1bLPQ"",0.349,0.712,0,-3.523,0,0.0352,0.137,0,0.0443,0.461,132.577,180853,4,2012,""Low Enerjic"""
"319,""7o3qlpXrSuIvokM7DRLbEE"",0.524,0.583,3,-6.134,0,0.0406,0.432,0,0.111,0.16,123.83,184067,4,2012,""Low Enerjic"""
"320,""578x6FSGt2Ah9FAGG6gW46"",0.445,0.945,8,-2.307,0,0.0694,0.265,0,0.2,0.827,176.006,179787,4,2012,""High Energic"""
"321,""6t5JVRaVQ99fQN6scZbPHL"",0.671,0.87,7,-3.942,0,0.0493,0.121,0,0.462,0.552,106.95,184347,4,2012,""High Energic"""
"322,""3mYHrdFPhiF6QHcoU8X2sP"",0.767,0.646,2,-6.3,0,0.161,0.321,0,0.0633,0.144,129.769,182120,4,2012,""Low Enerjic"""
"323,""3bOGrTCOKSV10OSQmzMFds"",0.65,0.87,0,-4.197,1,0.0371,0.0012,0,0.0965,0.677,122.014,180507,4,2012,""High Energic"""
"324,""5ErYY5A5bYUJ7agTZefZUS"",0.662,0.638,6,-5.707,1,0.0242,0.179,0,0.146,0.724,98.028,182080,4,2012,""Low Enerjic"""
"325,""5l5De3QspY02Z1G01syGx7"",0.558,0.845,6,-3.743,1,0.0781,0.762,0,0.0956,0.502,107.9,176840,4,2012,""Energic"""
"326,""0Ofy5R5aKvEXD93wKIe58a"",0.685,0.826,2,-5.545,0,0.0484,0.0465,0.0051,0.352,0.79,126.99,178613,4,2012,""Energic"""
"327,""3YUdekW4l65U0MtL1JyjKt"",0.323,0.529,5,-6.266,0,0.0294,0.291,0,0.102,0.132,131.892,185173,4,2012,""Low Enerjic"""
"328,""4HBDjTjAQTt7LFrgVTjlFx"",0.391,0.987,4,-4.327,1,0.0899,0.00033,0,0.0874,0.181,159.932,180173,4,2012,""High Energic"""
"329,""2n5583aB6nYj3OLzRRhx7Q"",0.731,0.947,8,-3.917,0,0.0657,0.409,2.21e-05,0.0928,0.901,106.389,180187,4,2012,""High Energic"""
"330,""6nA43LwkBmljzdIs1GKZ8x"",0.325,0.702,0,-3.557,1,0.0327,0.0238,2.72e-06,0.36,0.239,172.041,181577,4,2011,""Low Enerjic"""
"331,""6yrCcmE0CiQr0tc4pVy4Rw"",0.49,0.452,0,-6.835,1,0.0343,0.719,0.00073,0.227,0.372,143.648,212094,4,2011,""Low Enerjic"""
"332,""1InDX4MkJT1lnaliydPYWz"",0.535,0.966,9,-3.762,1,0.106,0.000559,0,0.0999,0.484,125.047,180080,4,2011,""High Energic"""
"333,""60w4OUxN2PmTnlrgk4aRBX"",0.529,0.648,6,-8.2,0,0.029,0.451,0,0.0364,0.386,84.111,177093,4,2011,""Low Enerjic"""
"334,""4gDQktCvIfPqo18AdHmkR4"",0.625,0.867,8,-4.562,1,0.0866,0.0109,0,0.335,0.502,138.015,175000,4,2011,""High Energic"""
"335,""7i0oF2AUXzpoLeMQEFkdcd"",0.496,0.668,7,-6.276,1,0.0293,0.157,0,0.102,0.408,146.929,181774,4,2011,""Low Enerjic"""
"336,""3cxGXhJjZ1tzLUfuGEU8h3"",0.491,0.509,2,-8.374,1,0.0295,0.173,5e-06,0.301,0.183,72.964,182200,4,2011,""Low Enerjic"""
"337,""0oFqI08qngRXPwkx6Dfujt"",0.763,0.923,7,-5.884,1,0.0272,0.0101,6.45e-06,0.332,0.955,123.604,179987,4,2011,""High Energic"""
"338,""7JfpfeJhX4ZE7RAzEp1iXU"",0.757,0.648,0,-8.17,1,0.0604,0.00329,0,0.107,0.541,122.953,187317,4,2011,""Low Enerjic"""
"339,""2y0NFhe1I9RZz7eAKoMUiR"",0.725,0.926,5,-4.665,0,0.12,0.00493,0,0.323,0.551,129.047,183967,4,2011,""High Energic"""
"340,""1b0OoO5FpkccsaIxFuNJO4"",0.761,0.398,9,-6.472,1,0.0375,0.251,0,0.0976,0.652,127.919,168949,4,2011,""Low Enerjic"""
"341,""4IaAT2HEHbaBoyfIF5gZSM"",0.657,0.834,10,-4.45,0,0.0341,0.268,0.000156,0.252,0.375,127.992,169880,4,2011,""Energic"""
"342,""5ohtktzfii4UNMs44NKhiW"",0.728,0.884,8,-3.346,0,0.0509,0.47,0,0.0949,0.653,99.067,187106,4,2011,""High Energic"""
"343,""6w44eqrgNiCQqPNwGaTSSJ"",0.506,0.466,7,-5.01,1,0.0382,0.213,0,0.0953,0.0981,122.785,179819,4,2011,""Low Enerjic"""
"344,""1iSpYnxIYAg8gL7IXVqocP"",0.645,0.674,0,-6.939,0,0.401,0.622,0,0.2,0.667,176.116,178013,4,2011,""Low Enerjic"""
"345,""42JJyO1ZBaA0qL6M5gZhxg"",0.803,0.279,5,-10.879,0,0.0496,0.51,0.271,0.0996,0.0933,160.014,203733,3,2011,""Low Enerjic"""
"346,""4rvFyA7h88s8DehCOjqW9K"",0.805,0.89,3,-3.653,0,0.0539,0.118,0,0.1,0.749,130.014,192993,4,2011,""High Energic"""
"347,""3c6DsCy8m1x4Rj9MuDUzk8"",0.696,0.77,2,-5.352,1,0.0493,0.38,0,0.0754,0.824,98.934,173547,4,2011,""Energic"""
"348,""1eGfYqCI1IDqErWMnlDJiu"",0.305,0.747,10,-3.739,0,0.0456,0.788,0.0884,0.118,0.274,127.773,175547,4,2011,""Low Enerjic"""
"349,""1pWm08q3oWv09VmRfLeGbV"",0.629,0.862,8,-5.142,0,0.0403,0.00289,4.96e-05,0.251,0.396,115.998,245449,4,2011,""Energic"""
"350,""0pWgTz7pBV4aQ7tjd2suxo"",0.56,0.869,5,-4.232,0,0.0522,0.0381,0,0.0628,0.421,133.945,183093,4,2011,""High Energic"""
"351,""4p4mw9aWCgs6pPGOPFa054"",0.55,0.892,6,-6.448,1,0.119,0.0118,0,0.0653,0.602,127.984,181267,4,2011,""High Energic"""
"352,""38raakRCgwIOKwrVxItqJf"",0.496,0.901,4,-3.584,0,0.0944,0.00485,2.22e-05,0.221,0.163,127.057,180744,4,2011,""High Energic"""
"353,""6aGXOEzfF3VZQgBECm63MX"",0.63,0.724,2,-5.827,1,0.0362,0.334,0,0.178,0.805,91.948,182161,4,2011,""Low Enerjic"""
"354,""72MZPRKW5YrgNd3ukqhU2t"",0.627,0.791,10,-4.314,1,0.0483,0.00989,0,0.0888,0.613,125.08,184693,4,2011,""Energic"""
"355,""5bKbuYEBKHd3TOuOY2c76f"",0.74,0.888,4,-3.857,0,0.0613,0.0073,0.0037,0.104,0.805,148.032,229747,4,2011,""High Energic"""
"356,""3jUmg6CcfuBE0WDFmyPfnH"",0.695,0.901,9,-3.267,0,0.0828,0.0565,0,0.0741,0.305,136.933,179213,4,2011,""High Energic"""
"357,""4VMKl6w9MCbe6uRW9RQ3QT"",0.476,0.83,0,-5.593,1,0.0294,0.00952,0,0.325,0.569,97.027,179412,4,2011,""Energic"""
"358,""18JxAvZNiJ8387A3As20mg"",0.281,0.812,5,-2.714,0,0.0416,0.0845,3.53e-05,0.114,0.315,176.262,181987,4,2011,""Energic"""
"359,""4UoNS2vKACEFaYEDwtxVU3"",0.496,0.756,9,-3.304,1,0.0289,0.408,0,0.0724,0.342,86.99,182533,4,2011,""Low Enerjic"""
"360,""2Zqr0vZrh8KlCISBCCNYAA"",0.441,0.56,5,-6.135,1,0.0284,0.138,0,0.122,0.435,75.617,182960,4,2011,""Low Enerjic"""
"361,""68852t5sKz5d1LoCMv7SGD"",0.345,0.719,0,-3.584,1,0.0329,0.0306,1.2e-06,0.354,0.218,171.624,180707,4,2011,""Low Enerjic"""
"362,""53IjEVWjrFoacmvB9egCcV"",0.496,0.756,9,-3.304,1,0.0289,0.408,0,0.0724,0.342,86.99,182533,4,2011,""Low Enerjic"""
"363,""6V3OVnS8A0P2I7j5e7YRBb"",0.68,0.857,11,-4.591,0,0.238,0.204,0,0.0414,0.924,94.928,175507,4,2010,""Energic"""
"364,""19BkfCQ8jcAlb33zf7jzVa"",0.557,0.681,9,-7.065,0,0.0266,0.0121,2.88e-05,0.138,0.415,111.955,228310,4,2010,""Low Enerjic"""
"365,""76DKT6L6Ut4mN15dfrHCo8"",0.66,0.822,7,-2.683,1,0.0409,0.0209,6.08e-06,0.0558,0.962,122.054,182951,4,2010,""Energic"""
"366,""2wgVbKrFf3kf81FFuv53WP"",0.519,0.774,6,-5.254,1,0.0264,0.0477,1.1e-05,0.185,0.52,95.021,181293,4,2010,""Energic"""
"367,""38hIyhovrQzznCiNjnG5LI"",0.468,0.657,6,-4.338,1,0.0295,0.00957,1.03e-05,0.0776,0.228,147.965,222493,3,2010,""Low Enerjic"""
"368,""2NN9Tsj56bSWq2cAklqsPB"",0.471,0.345,9,-8.373,1,0.0334,0.625,0,0.144,0.418,128.695,180940,4,2010,""Low Enerjic"""
"369,""06bUBaq3PKtjc6DvHN6uiX"",0.66,0.931,3,-3.038,0,0.0764,0.0103,0,0.181,0.362,129.981,177539,4,2010,""High Energic"""
"370,""1xSl7uE9De7aLDEGXahCJB"",0.642,0.934,11,-4.706,1,0.06,0.00208,1.08e-06,0.0612,0.721,129.024,172746,4,2010,""High Energic"""
"371,""7CJ8kE34MpQpL8jZUazdPt"",0.634,0.407,4,-6.469,0,0.0397,0.718,1.02e-06,0.138,0.118,119.929,180088,4,2010,""Low Enerjic"""
"372,""7eaJq7QMiWnVCIpqeQsZRn"",0.391,0.512,8,-6.321,0,0.0301,0.601,0,0.194,0.2,114.807,189613,4,2010,""Low Enerjic"""
"373,""4X2DjLtq0XEj4ukogWZCAv"",0.455,0.493,2,-6.698,1,0.0303,0.165,0,0.313,0.173,125.816,245828,4,2010,""Low Enerjic"""
"374,""48rIGviK0uiZKmXV6QifbE"",0.529,0.878,3,-4.328,0,0.0668,0.0343,2.64e-06,0.172,0.285,132.033,180001,4,2010,""High Energic"""
"375,""6LU0IG1OaHXpBKyb1WDczf"",0.754,0.85,1,-5.794,1,0.0667,0.112,2.53e-06,0.307,0.541,121.035,182067,4,2010,""Energic"""
"376,""4TNq9oD4rENIf10uzKLVfS"",0.372,0.618,2,-5.069,0,0.083,0.725,0,0.27,0.709,176.714,179907,3,2010,""Low Enerjic"""
"377,""46tMU6e3Wu4694Mcjl34eO"",0.734,0.791,1,-6.39,1,0.0433,0.158,0,0.337,0.716,137.013,183697,4,2010,""Energic"""
"378,""6goCLerItGxMQ5kWGVxclD"",0.283,0.242,9,-5.376,1,0.0328,0.826,2.67e-05,0.134,0.22,132.833,185547,4,2010,""Low Enerjic"""
"379,""58N5G89W3yFSqZytItT1Ah"",0.547,0.556,0,-9.077,1,0.0309,0.201,0,0.143,0.48,152.014,175750,4,2010,""Low Enerjic"""
"380,""6FpkouqvLow7y6yyFeHVZm"",0.394,0.265,0,-14.065,1,0.0325,0.338,0,0.111,0.16,129.697,179373,4,2010,""Low Enerjic"""
"381,""4fnqZBZtIl2xNPrpP8Fix2"",0.486,0.68,0,-4.305,0,0.0336,0.245,0,0.268,0.384,82.911,180947,4,2010,""Low Enerjic"""
"382,""012d7d7oRmXrqrZWtHakom"",0.695,0.91,10,-4.778,0,0.0548,0.118,5.97e-06,0.236,0.478,119.985,183147,4,2010,""High Energic"""
"383,""55Dg7jUoRqwoy6X6cV2ft1"",0.493,0.643,3,-5.193,0,0.0365,0.385,0,0.149,0.492,76.031,182747,4,2010,""Low Enerjic"""
"384,""2Jd27yo14CFCzLlvROqm6a"",0.832,0.76,9,-6.558,1,0.0491,0.0328,0,0.183,0.932,133.962,159653,4,2010,""Low Enerjic"""
"385,""1QrgOgNByC3oJnzI7dn8sG"",0.593,0.631,9,-6.929,0,0.037,0.694,0,0.171,0.557,103.052,176400,4,2010,""Low Enerjic"""
"386,""3aUtmu4VTqAFkk4sFQ5kNa"",0.644,0.624,7,-4.293,0,0.0294,0.056,0,0.191,0.451,77.955,179453,4,2010,""Low Enerjic"""
"387,""2HA2PUkzpBqDbrqzNkcoMG"",0.444,0.669,6,-5.488,1,0.034,0.142,0,0.124,0.31,137.981,182867,4,2010,""Low Enerjic"""
"388,""4ZLY9UkZB9es1CFUvJSojY"",0.473,0.837,9,-5.327,0,0.0802,0.709,0,0.0904,0.59,115.212,188533,4,2010,""Energic"""
"389,""4xufzAdw6ChXXzMWsVDz8X"",0.596,0.915,4,-2.748,1,0.0663,0.308,0,0.0564,0.768,162.071,178158,4,2010,""High Energic"""
"390,""2AJ89Ieowi1Ph4LDPYz786"",0.351,0.712,7,-6.028,0,0.0453,0.17,8.32e-06,0.114,0.38,159.991,182397,4,2010,""Low Enerjic"""
"391,""37lYrZzmbRiEySPGkiGjXA"",0.573,0.785,2,-5.362,0,0.0293,0.619,3.69e-05,0.278,0.688,108.003,182600,4,2009,""Energic"""
"392,""0WVmw3JD2FMQClBH9ZZGbf"",0.473,0.566,0,-7.023,0,0.0278,0.35,0,0.0697,0.226,84,197253,4,2009,""Low Enerjic"""
"393,""4xMRFkFYufAuTEKR0YMN3Z"",0.652,0.953,3,-2.417,0,0.0521,0.104,9.04e-06,0.0631,0.706,108.462,174627,4,2009,""High Energic"""
"394,""3Gp3YziRNAbiCDzGV5E6Xm"",0.752,0.958,5,-3.857,1,0.0572,0.139,3.77e-05,0.134,0.851,115.024,181401,4,2009,""High Energic"""
"395,""0q1PTDRFl64tIskcoIs2EO"",0.303,0.537,4,-6.032,1,0.0371,0.573,0,0.108,0.145,99.481,197440,4,2009,""Low Enerjic"""
"396,""6IiZBBFqyyK3CLo9BqmmAH"",0.687,0.716,5,-5.997,0,0.0447,0.0318,0,0.329,0.642,123.905,179995,4,2009,""Low Enerjic"""
"397,""59qLlrqPcKHmpjSVidZMgQ"",0.649,0.923,6,-4.718,0,0.0656,0.0362,0,0.155,0.651,127.953,177563,4,2009,""High Energic"""
"398,""1ek6uvfKjBGQYM7LVi7OTp"",0.322,0.536,7,-6.358,0,0.0486,0.67,0,0.438,0.205,185.923,180634,3,2009,""Low Enerjic"""
"399,""2moFppE0ZWxwC4imuXjAlT"",0.488,0.911,7,-3.428,1,0.0473,0.0066,0,0.135,0.378,119.992,229747,4,2009,""High Energic"""
"400,""72pPz0QL8HncjUkgFJguHb"",0.522,0.778,6,-3.523,0,0.0388,0.438,2.38e-06,0.107,0.385,152.214,186253,4,2009,""Energic"""
"401,""5Ed1V8y02vO1VU2eTOPdyl"",0.612,0.925,6,-3.517,0,0.0644,0.00841,0,0.681,0.845,124.793,180557,4,2009,""High Energic"""
"402,""0LUwe0PKdjLtAoq4uRIGzT"",0.624,0.889,10,-4.482,0,0.212,0.107,0,0.205,0.561,135.996,183600,4,2009,""High Energic"""
"403,""7zGgJDpbl09ye2HsHw1IED"",0.452,0.911,2,-4.859,0,0.0374,0.0138,0.0305,0.248,0.33,117.959,201307,4,2009,""High Energic"""
"404,""0jVxMrJ48JrTcf4RdYy9h1"",0.78,0.864,4,-3.667,0,0.0806,0.356,0,0.353,0.758,115.023,181973,4,2009,""High Energic"""
"405,""68SOVSRAH8Qf85hwQrlb9R"",0.567,0.425,6,-6.449,1,0.0272,0.424,0,0.0594,0.338,102.05,181960,4,2009,""Low Enerjic"""
"406,""6hTgPIAymRVT7Bmvd1o4ls"",0.662,0.801,4,-4.756,0,0.0692,0.0801,2.79e-06,0.0967,0.503,127.954,253979,4,2009,""Energic"""
"407,""0AdCDSKdj8pRAZZ3FqHmHH"",0.658,0.844,6,-4.604,0,0.0548,0.0604,0,0.0916,0.748,126.004,179347,4,2009,""Energic"""
"408,""7ffiVWrY1ZLIQ733du5aud"",0.593,0.969,7,-4.641,1,0.0693,0.01,0.0178,0.203,0.827,137.97,178000,4,2009,""High Energic"""
"409,""6M8nlXniw9MEh7uqlAMe8e"",0.477,0.439,1,-6.815,1,0.0333,0.618,0,0.0738,0.139,123.205,182600,4,2009,""Low Enerjic"""
"410,""0fZN4NGdjRalo2fucp6bSq"",0.602,0.771,1,-4.984,1,0.0243,0.264,0,0.0821,0.711,105.959,179773,4,2009,""Energic"""
"411,""3pVzMndOJpKfQEJkzXi43a"",0.795,0.838,10,-6.972,0,0.464,0.196,2.91e-06,0.235,0.687,154.161,164933,4,2009,""Energic"""
"412,""17vqynqmrf9D9Js4XVQLrQ"",0.585,0.694,1,-4.103,0,0.0312,0.555,9.63e-05,0.0771,0.427,116.104,182093,4,2009,""Low Enerjic"""
"413,""1iqlGvWyLTVwoRWLZL9YGu"",0.493,0.906,4,-4.854,0,0.0714,0.00909,0.00117,0.0905,0.443,130.005,175636,4,2009,""High Energic"""
"414,""3LDK4pY6mDkO6sgUnc6TZL"",0.657,0.956,8,-3.847,1,0.101,0.001,0,0.0827,0.81,125.1,237373,4,2009,""High Energic"""
"415,""53fkk9N9mbjSSiUfW3hwEo"",0.361,0.872,5,-1.989,1,0.0828,0.018,1.32e-06,0.309,0.441,169.565,179253,4,2009,""High Energic"""
"416,""1YzeRa2GCiyGuXa1NhNYuX"",0.518,0.975,8,-5.063,1,0.157,0.0434,0,0.959,0.264,131.98,181373,4,2009,""High Energic"""
"417,""15zGL45A30gx6ufCNl6jwI"",0.451,0.686,6,-3.819,1,0.0296,0.307,0,0.551,0.262,143.788,180000,4,2009,""Low Enerjic"""
"418,""0tUCbArcV1LIbXSEye6uys"",0.589,0.614,7,-6.346,1,0.0398,0.36,0,0.113,0.413,96.997,253333,4,2009,""Low Enerjic"""
"419,""0k6gCBPphdSYS18HdNFW3h"",0.498,0.702,7,-4.747,1,0.0278,0.336,0,0.118,0.328,95.293,183000,4,2009,""Low Enerjic"""
"420,""7Kz4f9CgtAfbmPBMX5q2ZV"",0.525,0.655,10,-3.55,1,0.0386,0.355,1.87e-05,0.21,0.455,128.042,177013,4,2009,""Low Enerjic"""
"421,""4JhfwIE45890EXAyEbpRPj"",0.768,0.402,2,-15.591,1,0.0514,0.068,0.000723,0.0973,0.924,132.976,177933,4,2009,""Low Enerjic"""
"422,""32e6HtEtm1N8MEcvV4Mq6k"",0.717,0.855,5,-4.474,1,0.0302,0.0215,0.00024,0.0466,0.633,130.091,179973,4,2009,""Energic"""
"423,""0MEUQiDQsKUpwvgSeyotSI"",0.347,0.585,9,-7.864,0,0.0377,0.668,4.58e-05,0.0912,0.402,205.409,184467,3,2009,""Low Enerjic"""
"424,""4MVp4IDTbDKmErZOf9sVLA"",0.621,0.918,9,-2.697,1,0.0314,0.00789,0.00485,0.333,0.399,132.019,184893,4,2009,""High Energic"""
"425,""74GKl02NO20G4kfan0r1cr"",0.406,0.744,1,-3.206,0,0.0339,0.412,0,0.312,0.55,183.902,185933,4,2008,""Low Enerjic"""
"426,""3ZgDHgzfeQNVw8kucAYWnj"",0.499,0.962,10,-6.127,0,0.363,0.0211,0,0.385,0.292,137.858,179320,4,2008,""High Energic"""
"427,""77GONOsb3Fg7uaLWttx55j"",0.779,0.794,1,-5.035,1,0.0421,0.267,1.48e-05,0.128,0.944,110.979,182544,4,2008,""Energic"""
"428,""55XpXSN77QyoudQmlg8j8q"",0.619,0.893,8,-4.336,0,0.0361,0.00193,0,0.085,0.908,126.982,175667,4,2008,""High Energic"""
"429,""11HGVXkQeb543M75hMBnOM"",0.684,0.796,9,-5.425,0,0.068,6.59e-05,0.0299,0.126,0.379,127.988,214000,4,2008,""Energic"""
"430,""5devjcsxeVnwYQbaYJ2Ewx"",0.706,0.699,6,-12.515,0,0.0512,0.0501,1.07e-06,0.0692,0.753,127.953,178880,4,2008,""Low Enerjic"""
"431,""3FHTWmLkiStTIIaB5So8F1"",0.693,0.804,10,-5.345,1,0.0467,0.24,0.0064,0.0974,0.501,141.947,176160,4,2008,""Energic"""
"432,""30s8YdK8ohOs6hqxlG8iqB"",0.431,0.592,1,-5.826,0,0.0351,0.648,0,0.341,0.286,69.962,184653,3,2008,""Low Enerjic"""
"433,""0wBgH13iJrFVYJxmG9PJA3"",0.421,0.481,9,-5.152,0,0.0327,0.926,5.27e-05,0.126,0.23,122.47,184163,4,2008,""Low Enerjic"""
"434,""6YeKxDr0OIdYT6Sk9UwGc9"",0.529,0.666,11,-7.355,1,0.0297,0.162,1.91e-05,0.112,0.385,140.029,182827,4,2008,""Low Enerjic"""
"435,""2ZVd1DK17UIcj31DjAIgKM"",0.714,0.656,0,-6.561,1,0.124,0.227,0,0.084,0.816,124.08,180587,4,2008,""Low Enerjic"""
"436,""3MRIeQnEUab2sOZMOtRJb9"",0.864,0.847,10,-5.476,0,0.196,0.0077,0.00106,0.0737,0.735,97.009,174533,4,2008,""Energic"""
"437,""4jl55FXBqC4VTxOggSsfhL"",0.69,0.737,9,-4.619,1,0.035,0.00592,0,0.323,0.839,122.997,175920,4,2008,""Low Enerjic"""
"438,""42Abw7EWk0fQcCphuLlBLI"",0.503,0.976,10,-4.465,0,0.3,0.00994,0,0.327,0.33,137.797,182933,4,2008,""High Energic"""
"439,""674mIXeX6ucMlhyLWgzvdP"",0.441,0.737,1,-3.827,0,0.0357,0.437,0,0.355,0.533,183.978,186347,4,2008,""Low Enerjic"""
"440,""4h6XFC9T1diF2FEuS5KZCd"",0.605,0.829,4,-4.748,1,0.0516,0.225,0,0.132,0.213,144.09,183507,4,2008,""Energic"""
"441,""7CmyDh0qXIOzkr8bqERAMP"",0.518,0.558,8,-5.988,1,0.0277,0.739,4.54e-06,0.0875,0.572,95.228,208767,3,2008,""Low Enerjic"""
"442,""0ZaW44W8ATuAgNno2BMBiL"",0.604,0.964,11,-2.373,0,0.0512,0.00169,0.000761,0.122,0.569,140,182027,4,2008,""High Energic"""
"443,""6BnZRwoeNRD345NaZjrg0X"",0.683,0.711,9,-4.955,1,0.035,0.00542,0,0.301,0.854,122.972,173320,4,2008,""Low Enerjic"""
"444,""1Jqx8UAFpeRpKOm5MsRfee"",0.646,0.28,11,-8.884,0,0.0379,0.922,0,0.113,0.735,135.972,154413,4,2008,""Low Enerjic"""
"445,""18lnqLdO2KypPDxZJOscIp"",0.504,0.998,5,-3.116,1,0.149,0.00287,1.64e-06,0.314,0.662,155.079,180000,4,2008,""High Energic"""
"446,""1YIZKhptvTugpAfWjGzjMY"",0.668,0.923,5,-5.187,0,0.0534,0.000325,0.0841,0.318,0.829,130.025,182439,4,2008,""High Energic"""
"447,""0sKY3EVQQRxZfY24zDsgJN"",0.589,0.855,11,-5.386,0,0.03,0.000161,0,0.165,0.714,125.008,182570,4,2008,""Energic"""
"448,""1RLmD2HP8XSyTEqwGbfFjx"",0.744,0.82,6,-10.641,0,0.0511,0.277,0,0.359,0.868,119.994,224293,4,2008,""Energic"""
"449,""4DMBHcOKngWQ55YXXOtZKn"",0.755,0.651,8,-5.215,1,0.0405,0.0526,0.00011,0.106,0.344,122.902,198000,4,2008,""Low Enerjic"""
"450,""4PjWlMvh4iP1BzdBDgYo8m"",0.86,0.865,10,-5.427,0,0.179,0.0151,8.77e-05,0.0587,0.838,96.985,173720,4,2008,""High Energic"""
"451,""1I6q95kivFbd4sTMehIJa8"",0.612,0.978,9,-3.592,0,0.336,0.0675,0,0.301,0.38,135.089,175987,4,2008,""High Energic"""
"452,""5VZ8qxqcj7uEJ9EF7eP7sn"",0.42,0.624,2,-5.749,1,0.0507,0.767,1.41e-06,0.148,0.31,74.33,183267,4,2008,""Low Enerjic"""
"453,""0NCI3TPk5pE9VtBhoy69j4"",0.492,0.558,10,-5.866,0,0.0272,0.0191,2.57e-06,0.0834,0.215,72.289,234707,4,2008,""Low Enerjic"""
"454,""6KQ6SURDIXeEHqvePvxRKA"",0.468,0.933,4,-2.642,0,0.0538,0.0107,4.77e-06,0.29,0.576,75.468,182893,4,2008,""High Energic"""
"455,""3TNmEyHduTMD2iG5szVBFA"",0.552,0.728,0,-6.765,0,0.0474,0.0485,0,0.231,0.3,133.772,201521,4,2008,""Low Enerjic"""
"456,""1Zu1blVWpnt5Gx9r5byBIE"",0.332,0.527,2,-6.788,0,0.0452,0.714,0,0.249,0.367,77.312,182640,4,2007,""Low Enerjic"""
"457,""47WBIz3j4GI7qYHVuMRHVT"",0.631,0.975,11,-3.771,0,0.179,0.048,3.95e-06,0.363,0.806,147.061,179630,4,2007,""High Energic"""
"458,""3qZPi3ikzBtPt2gQuLGbmT"",0.793,0.787,10,-7.083,0,0.0919,0.00635,0,0.0429,0.905,108.023,184816,4,2007,""Energic"""
"459,""1f0EvqqAmtxAASZpXUQ2vx"",0.534,0.843,11,-5.505,0,0.0484,0.00155,2.31e-06,0.0495,0.944,172.088,180613,4,2007,""Energic"""
"460,""0MnEMgc0QNteB3ExmvJDZJ"",0.558,0.84,4,-5.328,0,0.0563,0.00192,1.93e-05,0.0583,0.903,171.975,180067,4,2007,""Energic"""
"461,""2MGXtZPtInVic9SSK2TLl0"",0.514,0.909,7,-5.811,0,0.0445,0.00324,0,0.335,0.546,99.958,185800,4,2007,""High Energic"""
"462,""0asjC8T8CQhWn7KFzw6Zz1"",0.646,0.878,6,-5.918,1,0.0427,0.0146,0.802,0.111,0.496,136.976,186320,4,2007,""High Energic"""
"463,""6MAsDFTzvqiRJaVRVUEAbG"",0.594,0.921,1,-9.001,1,0.045,0.0177,0.83,0.368,0.487,137.009,453772,4,2007,""High Energic"""
"464,""12BlXWm1wYQT8IxaTYy73t"",0.483,0.614,10,-4.955,1,0.034,0.686,0,0.143,0.299,117.843,177653,3,2007,""Low Enerjic"""
"465,""5nFsmZWcaORAINqwQUbzCo"",0.585,0.623,9,-4.329,1,0.0456,0.122,0,0.094,0.527,133.728,179280,4,2007,""Low Enerjic"""
"466,""0GTEKTDIeAQ6b1yrnrtPzR"",0.657,0.846,1,-4.332,0,0.0285,0.0281,0,0.117,0.803,133.995,175173,4,2007,""Energic"""
"467,""7wBrE6nWwhwtR7h4lvhCoj"",0.21,0.83,9,-6.412,1,0.0646,0.000612,2.91e-05,0.411,0.414,70.791,180976,4,2007,""Energic"""
"468,""7aRCxdD8NhcUk5TpW3IoQG"",0.523,0.894,0,-6.506,1,0.11,0.0848,0,0.264,0.791,167.03,163107,4,2007,""High Energic"""
"469,""6UFFiCbEkd5p2XULVLOSVQ"",0.575,0.922,8,-4.044,1,0.197,0.0188,0,0.0664,0.367,137.986,184547,4,2007,""High Energic"""
"470,""0HRdukNlEqlaLBvKUmvGcS"",0.58,0.944,11,-5.133,0,0.0723,0.0363,0,0.304,0.688,125.032,182347,4,2007,""High Energic"""
"471,""49rV8zHYw8y0bwQHYZK0Ic"",0.569,0.913,4,-4.358,1,0.0425,0.00385,0,0.268,0.391,137.974,181453,4,2007,""High Energic"""
"472,""65fHwJQt1my8eC5xAXk3R7"",0.636,0.72,5,-6.388,0,0.0318,0.187,0,0.27,0.402,134.063,179213,4,2007,""Low Enerjic"""
"473,""5UpETFvkAOLHzJdb5kQXh8"",0.237,0.851,7,-4.049,0,0.0476,0.0591,1.63e-06,0.181,0.337,171.776,182533,4,2007,""Energic"""
"474,""1eHcKXE7XiZRLald0QvCmZ"",0.354,0.928,4,-4.268,1,0.0749,0.0346,0,0.123,0.613,199.913,178973,4,2007,""High Energic"""
